status,totalResults,source,author,title,description,url,urlToImage,publishedAt,content
ok,70,"{'id': None, 'name': 'CNBC'}",Fred Imbert,Big Tech went from growth stocks to Wall Street's Treasury bond substitute during the coronavirus - CNBC,"Wall Street flocked into these names because they believe their business models can not only weather this downturn, but thrive in it.",https://www.cnbc.com/2020/07/10/big-tech-went-from-growth-stocks-to-wall-streets-treasury-bond-substitute-during-the-coronavirus.html,https://image.cnbcfm.com/api/v1/image/105940457-1559231679482img_5394.jpg?v=1594396853,2020-07-10T19:22:00Z,"Investors and traders have historically turned to less-risky assets such as U.S. Treasurys to weather market volatility and uncertainty. During the coronavirus pandemic, however, they have turned to … [+5165 chars]"
ok,70,"{'id': None, 'name': 'seattlerefined.com'}",Sinclair Broadcast Group,The best ice cream in Seattle (and how to get it) - seattlerefined.com,"Ice cream is the comfort food of summer - and the best ice cream is true work of art. And while it might take a little while longer before life gets back to normal, at least we have some of the best frozen treats to help us all get through it. Below are a few…",http://seattlerefined.com/eat-drink/the-best-ice-cream-in-seattle-and-how-to-get-it,http://static-25.sinclairstoryline.com/resources/media/9ffff154-58f7-4b83-8fd6-bc2279f54edc-large16x9_a8ff8fc9a83a4fb9af492736d8302bc3MollyMoonsSpring_SB_14.jpg?1594408322035,2020-07-10T19:18:45Z,"Ice cream is the comfort food of summer - and the best ice cream is true work of art. And while it might take a little while longer before life gets back to normal, at least we have some of the best … [+3938 chars]"
ok,70,"{'id': None, 'name': 'Forbes'}",Renee Morad,"How College Students Can Get Nearly $800 A Week In Pandemic Unemployment Assistance, Backdated From April 2020 Through July 2020 - Forbes","Students are receiving a core benefit of $190 a week, on average, depending on their state, along with an extra $600 per week in unemployment assistance.",https://www.forbes.com/sites/reneemorad/2020/07/10/how-college-students-can-get-nearly-800-a-week-in-pandemic-unemployment-assistance-backdated-from-april-2020-through-july-2020/,https://thumbor.forbes.com/thumbor/fit-in/1200x0/filters%3Aformat%28jpg%29/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F200389288-002%2F0x0.jpg,2020-07-10T19:03:00Z,"null
Getty
Many unemployed and cash-strapped college students are worried about how theyll survive financially during the upcoming fall semester. Stimulus checks sent through the CARES Act excluded… [+4951 chars]"
ok,70,"{'id': None, 'name': 'OilPrice.com'}",Josh Owens,Oil Returns To $40 After COVID Correction - OilPrice.com,"Oil prices fell on Thursday as COVID-19 cases continued to spike in the U.S., which the IEA  highlighted as a major threat to oil markets in today's report, but prices were quick to return to the $40 mark on Friday.",https://oilprice.com/Energy/Energy-General/Oil-Returns-To-40-After-COVID-Correction.html,https://d32r1sh890xpii.cloudfront.net/article/718x300/2020-07-10_fn2anixrb0.jpg,2020-07-10T19:00:00Z,
ok,70,"{'id': None, 'name': 'WKRC TV Cincinnati'}",WKRC,Kroger won't give coins for change during shortage - WKRC TV Cincinnati,CINCINNATI (WKRC) - Kroger said that for the time being customers will not receive coin change from cash transactions. That change will be applied to customers' loyalty cards.. which will then automatically get used on their next purchase. Customers can also …,http://local12.com/news/local/kroger-wont-give-coins-for-change-during-shortage,http://static-37.sinclairstoryline.com/resources/media/fc7fd927-d678-4e8a-ab70-886a3bc08004-large16x9_gmckrogerbg.PNG?1594407354598,2020-07-10T18:57:00Z,
ok,70,"{'id': 'the-wall-street-journal', 'name': 'The Wall Street Journal'}","Matt Wirz, Tom McGinty",Fed Discloses More Corporate Bond and ETF Purchases - The Wall Street Journal,"ETF trades made $168 million paper gains; bond purchases include Apollo, Ares and Owl Rock",https://www.wsj.com/articles/fed-bought-about-1-3-billion-corporate-bonds-in-late-june-11594396039,https://images.wsj.net/im-208043/social,2020-07-10T18:45:00Z,"The Federal Reserve bought about $1.3 billion face value of corporate bonds from June 17-26, boosting its purchases under a market stabilization buying program to about $1.5 billion at the time, acco… [+332 chars]"
ok,70,"{'id': None, 'name': 'MarketWatch'}",Jaimy Lee,"Gilead says coronavirus drug remdesivir can reduce risk of death, but analysts need more proof - MarketWatch","The drugmaker is making ‘a confusing suggestion’ that remdesivir can demonstrate a survival benefit, according to a Raymond James analyst",https://www.marketwatch.com/story/gilead-says-coronavirus-drug-remdesivir-can-reduce-risk-of-death-but-analysts-need-more-proof-2020-07-10,https://s.marketwatch.com/public/resources/images/MW-IF630_remdes_ZG_20200501085223.jpg,2020-07-10T18:40:00Z,"Shares of Gilead Sciences Inc. gained 2.0% on Friday after the drugmaker shared potentially promising data about remdesivir that indicates the experimental COVID-19 drug may reduce deaths, though it … [+3859 chars]"
ok,70,"{'id': None, 'name': 'Motley Fool'}","Brian Orelli, PhD","Pfizer and BioNTech's Coronavirus Vaccine Ready for Regulatory Submission in December, Maybe Earlier - The Motley Fool",The companies' CEOs give different timelines on a potential submission.,https://www.fool.com/investing/2020/07/10/pfizer-and-biontechs-coronavirus-vaccine-ready-for.aspx,https://g.foolcdn.com/editorial/images/581954/vaccination-syringe.jpg,2020-07-10T18:34:00Z,"BioNTech (NASDAQ:BNTX) and Pfizer(NYSE:PFE) are right on the heels of Moderna(NASDAQ:MRNA) in the race to potentially develop a messenger RNA (mRNA) vaccine against SARS-CoV-2, the novel coronavirus … [+1670 chars]"
ok,70,"{'id': 'the-verge', 'name': 'The Verge'}",Adi Robertson,Supreme Court will hear Facebook robocalling case - The Verge,"The Supreme Court will hear Facebook v. Duguid, a lawsuit alleging that Facebook’s automated text alerts constituted illegal robocalling.",https://www.theverge.com/2020/7/10/21320184/supreme-court-facebook-duguid-robocall-tcpa-class-action-lawsuit,https://cdn.vox-cdn.com/thumbor/dW3PvuXiW3LCt_cPFrJ-wEmn55A=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/15948810/akrales_180614_1777_0110.jpg,2020-07-10T18:25:41Z,"Were unwanted Facebook text messages illegal?
Photo by Amelia Holowaty Krales
The Supreme Court has agreed to hear Facebooks defense after an appeals court determined it violated anti-robocalling r… [+1764 chars]"
ok,70,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Alex Wilhelm,Rackspace preps IPO after going private in 2016 for $4.3B - TechCrunch,"After going private in 2016 after accepting a $32 per share, or $4.3 billion, price from Apollo Global Management, Rackspace is looking once again to the public markets. First going public in 2008, Rackspace is taking second aim at a public offering around 12…",http://techcrunch.com/2020/07/10/rackspace-preps-ipo-after-going-private-in-2016-for-4-3b/,https://techcrunch.com/wp-content/uploads/2015/08/rackspace-earnings.png?w=711,2020-07-10T18:22:14Z,"After going private in 2016 after accepting a $32 per share, or $4.3 billion, price from Apollo Global Management, Rackspace is looking once again to the public markets. First going public in 2008, R… [+4394 chars]"
